AssayIdentifier,Acetate ,Isobutyrate ,Succinate ,Butyrate ,Glucose ,Propionate ,Lactate ,Formate ,Project,TimePoint,Day,Time_hr,StudyIdentifier,SampleIdentifier,Acetate_Feed,DisturbanceCarbs,Type,BlautiaHydro,Fasting,OpticalDensity,pH,Short_sample,Fasting_condition,DilutionRate (mL/hour),Comments,DisturbanceCarbs_2,TimePoint,Note,RNASeq
F8T32,44.15743791,0,4.051581902,14.23381156,0.147438597,15.10472503,0,1.752745466,MDb-MM,T32,2,32,Bioreactor_C,Ferm_25_8_32,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.5,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T32,Normal,YES
F5T48,56.3268,2.5102,2.3491,13.6381,0.0621,22.2548,0.1984,0,MDb-MM,T48,3,48,Bioreactor_A,Ferm_28_5_48,YES,SipkeNormalCarbohydrates,Continous,NO,YES,5.9,,,YES,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T48,Normal,YES
F6T48,62.7473,2.2118,1.6851,17.1754,0.0559,24.0526,0.0451,0,MDb-MM,T48,3,48,Bioreactor_B,Ferm_28_6_48,YES,SipkeNormalCarbohydrates,Continous,NO,YES,6.8,,,YES,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T48,Normal,YES
F8T48,58.6735,1.9695,1.5674,16.2535,0,28.5415,0.1136,0,MDb-MM,T48,3,48,Bioreactor_C,Ferm_28_8_48,YES,SipkeNormalCarbohydrates,Continous,NO,YES,6.2,,,YES,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T48,Normal,YES
F5T52,57.1213859,0,3.344803909,16.580283,0.24582167,20.79370093,0,1.39662721,MDb-MM,T52,3,52,Bioreactor_A,Ferm_5_5_52,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.5,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T52,Normal,YES
F6T52,59.35063541,0,3.157732547,18.9354577,0.232782814,21.52008816,0,1.271724753,MDb-MM,T52,3,52,Bioreactor_B,Ferm_5_6_52,YES,SipkeNormalCarbohydrates,Continous,NO,NO,8,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T52,Normal,YES
F8T52,52.16446363,0,2.953632021,17.40438098,0.225787642,20.86060755,0,1.338937913,MDb-MM,T52,3,52,Bioreactor_C,Ferm_5_8_52,YES,SipkeNormalCarbohydrates,Continous,NO,NO,8.6,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T52,Normal,YES
F5T56,51.395,2.0552,2.4237,12.3822,0.0892,21.2401,0,1.4362,MDb-MM,T56,3,56,Bioreactor_A,Ferm_54_5_56,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.7,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T56,Normal,YES
F6T56,58.2187,2.4231,1.7743,17.0699,0.0666,22.4489,0,0,MDb-MM,T56,3,56,Bioreactor_B,Ferm_54_6_56,YES,SipkeNormalCarbohydrates,Continous,NO,NO,8,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T56,Normal,YES
F8T56,46.8025,1.849,1.5561,14.4078,0.059,20.1191,0,0,MDb-MM,T56,3,56,Bioreactor_C,Ferm_54_8_56,YES,SipkeNormalCarbohydrates,Continous,NO,NO,8,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T56,SwitchedwithFerm_NTC_2_2,YES
F5T72,42.8054,1.6254,0.2182,11.2702,0.0582,19.6556,0.2451,0,MDb-MM,T72,4,72,Bioreactor_A,Ferm_47_5_72,YES,SipkeNormalCarbohydrates,Continous,NO,YES,6.4,,,YES,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T72,Normal,NO
F6T72,43.2469,1.5213,0.0823,11.9467,0.0589,19.1008,0.2869,0,MDb-MM,T72,4,72,Bioreactor_B,Ferm_47_6_72,YES,SipkeNormalCarbohydrates,Continous,NO,YES,6.5,,,YES,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T72,Normal,NO
F8T72,41.4858,1.3982,0,12.4403,0.0068,19.7696,0,1.6351,MDb-MM,T72,4,72,Bioreactor_C,Ferm_47_8_72,YES,SipkeNormalCarbohydrates,Continous,NO,YES,6.6,,,YES,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T72,SwitchedwithFerm_NTC_2_1,NO
F5T74.5,50.1065,1.9973,0.8647,12.8875,0.0843,22.2256,0,0,MDb-MM,T74.5,4,74.5,Bioreactor_A,Ferm_51_5_74_5,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.5,,YES,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T74.5,Normal,YES
F6T74.5,54.7203,2.106,1.119,15.3631,0.0934,23.2243,0.2898,0,MDb-MM,T74.5,4,74.5,Bioreactor_B,Ferm_51_6_74_5,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.8,,YES,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T74.5,Normal,YES
F8T74.5,42.1287,1.5757,0.9089,12.8875,0.0843,20.5894,0.2056,0,MDb-MM,T74.5,4,74.5,Bioreactor_C,Ferm_51_8_74_5,YES,SipkeNormalCarbohydrates,Continous,NO,NO,8,,YES,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T74.5,Normal,YES
F5T76,59.4318,6.352,1.8167,19.0934,0,28.019,0.9807,6.362,MDb-MM,T76,4,76,Bioreactor_A,Ferm_29_5_76,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.5,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T76,Normal,NO
F6T76,57.4009,4.3439,1.4695,18.629,0.1622,26.8804,0.6944,4.1391,MDb-MM,T76,4,76,Bioreactor_B,Ferm_29_6_76,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.5,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T76,Normal,NO
F8T76,58.9193,4.8265,1.6229,21.828,0.1368,29.6032,0.8814,5.1367,MDb-MM,T76,4,76,Bioreactor_C,Ferm_29_8_76,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.8,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T76,Normal,NO
F5T80.1,60.9026,5.6558,2.9298,21.2339,0.1882,29.0312,0,7.427,MDb-MM,T80,4,80,Bioreactor_A,Ferm_1_5_80,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.6,,,NO,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T80,Normal,NO
F6T80.1,66.2318,5.0315,2.9168,22.002,0.176,30.657,0,5.1904,MDb-MM,T80,4,80,Bioreactor_B,Ferm_1_6_80,YES,SipkeNormalCarbohydrates,Continous,NO,NO,8.4,,,NO,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T80,Normal,NO
F8T80.1,55.8846,4.2432,2.0817,20.0762,0.1634,27.9686,0.6284,4.7765,MDb-MM,T80,4,80,Bioreactor_C,Ferm_1_8_80,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.9,,,NO,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T80,Normal,NO
F5T80,60.9026,5.6558,2.9298,21.2339,0.1882,29.0312,0,7.427,MDb-MM,T80,4,80,Bioreactor_A,Ferm_21_5_80,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.6,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T80,Normal,NO
F6T80,66.2318,5.0315,2.9168,22.002,0.176,30.657,0,5.1904,MDb-MM,T80,4,80,Bioreactor_B,Ferm_21_6_80,YES,SipkeNormalCarbohydrates,Continous,NO,NO,8.4,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T80,Normal,NO
F8T80,55.8846,4.2432,2.0817,20.0762,0.1634,27.9686,0.6284,4.7765,MDb-MM,T80,4,80,Bioreactor_C,Ferm_21_8_80,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.9,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T80,Normal,NO
F5T96,53.8035,6.3629,0.9673,19.2008,0.1701,27.0245,1.4039,5.7089,MDb-MM,T96,5,96,Bioreactor_A,Ferm_31_5_96,YES,SipkeNormalCarbohydrates,Continous,NO,YES,6.3,,,YES,10,RunNormal,ContinousSipkeNormalCarbohydrates,T96,Normal,NO
F6T96,57.6635,4.0721,1.4933,18.564,0.2831,28.2387,0,3.2606,MDb-MM,T96,5,96,Bioreactor_B,Ferm_31_6_96,YES,SipkeNormalCarbohydrates,Continous,NO,YES,6.9,,,YES,10,RunNormal,ContinousSipkeNormalCarbohydrates,T96,Normal,NO
