AssayIdentifier,Acetate ,Isobutyrate ,Succinate ,Butyrate ,Glucose ,Propionate ,Lactate ,Formate ,Project,TimePoint,Day,Time_hr,StudyIdentifier,SampleIdentifier,Acetate_Feed,DisturbanceCarbs,Type,BlautiaHydro,Fasting,OpticalDensity,pH,Short_sample,Fasting_condition,DilutionRate (mL/hour),Comments,DisturbanceCarbs_2,TimePoint,Note,RNASeq
F5T196,81.3578,5.4467,2.0265,17.1083,0.2305,30.9118,0,2.8176,MDb-MM,T196,9,196,Bioreactor_A,Ferm_7_5_196,YES,SipkeNormalCarbohydrates,Continous,YES,NO,8,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T196,Normal,NO
F6T196,78.3189,5.6034,1.5585,16.9148,0.2298,30.7519,0.806,2.843,MDb-MM,T196,9,196,Bioreactor_B,Ferm_7_6_196,YES,SipkeNormalCarbohydrates,Continous,YES,NO,7.8,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T196,Normal,NO
F8T196,66.0026,5.3288,1.1345,16.1669,0.2612,28.6867,0,0,MDb-MM,T196,9,196,Bioreactor_C,Ferm_7_8_796,YES,SipkeNormalCarbohydrates,Continous,YES,NO,,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T196,Normal,NO
F5T200,82.8518,6.6302,1.6199,19.0718,0.1937,32.1658,0,0,MDb-MM,T200,9,200,Bioreactor_A,Ferm_39_5_200,YES,SipkeNormalCarbohydrates,Continous,YES,NO,8.3,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T200,Normal,NO
F6T200,79.8088,5.5446,2.1139,17.0877,0.2156,30.5406,0,2.5805,MDb-MM,T200,9,200,Bioreactor_B,Ferm_39_6_200,YES,SipkeNormalCarbohydrates,Continous,YES,NO,9.6,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T200,Normal,NO
F8T200,83.1843,5.602,1.5369,19.7073,0.264,35.1446,0,0,MDb-MM,T200,9,200,Bioreactor_C,Ferm_39_8_200,YES,SipkeNormalCarbohydrates,Continous,YES,NO,9.3,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T200,Normal,NO
F5T216,91.3313,6.2688,1.9223,16.8545,0.2519,34.6355,0,3.5089,MDb-MM,T216,10,216,Bioreactor_A,Ferm_38_5_216,YES,SipkeNormalCarbohydrates,Continous,YES,YES,6.6,,,YES,10,RunNormal,BlautiaIntroFastingContinousSipkeNormalCarbohydrates,T216,Normal,NO
F6T216,92.7126,4.6694,1.5591,16.7261,0.2587,35.7885,0,2.6,MDb-MM,T216,10,216,Bioreactor_B,Ferm_38_6_216,YES,SipkeNormalCarbohydrates,Continous,YES,YES,7.3,,,YES,10,RunNormal,BlautiaIntroFastingContinousSipkeNormalCarbohydrates,T216,Normal,NO
F8T216,83.4382,5.1311,1.3709,16.5198,0.2749,32.6603,0,2.4371,MDb-MM,T216,10,216,Bioreactor_C,Ferm_38_8_216,YES,SipkeNormalCarbohydrates,Continous,YES,YES,8.2,,,YES,10,RunNormal,BlautiaIntroFastingContinousSipkeNormalCarbohydrates,T216,Normal,NO
F5T220,80.3408,2.0974,1.4283,13.1332,0.1747,25.3987,0.1813,0,MDb-MM,T220,10,220,Bioreactor_A,Ferm_30_5_220,YES,SipkeTwoXCarbohydrates,Continous,YES,NO,8,,,NO,10,RunNormal,BlautiaIntroContinousSipke2xNormalCarbohydrates,T220,Normal,NO
F6T220,87.1379,3.2359,1.3903,16.7638,0.2156,29.7791,0.0699,0.9791,MDb-MM,T220,10,220,Bioreactor_B,Ferm_30_6_220,YES,SipkeTwoXCarbohydrates,Continous,YES,NO,8.5,,,NO,10,RunNormal,BlautiaIntroContinousSipke2xNormalCarbohydrates,T220,Normal,NO
F8T220,74.592,1.8194,0.9399,12.616,0.153,25.4751,0.0774,0.8631,MDb-MM,T220,10,220,Bioreactor_C,Ferm_30_8_220,YES,SipkeTwoXCarbohydrates,Continous,YES,NO,7.7,,,NO,10,RunNormal,BlautiaIntroContinousSipke2xNormalCarbohydrates,T220,Normal,NO
F5T224,86.9184,2.7744,2.2278,14.2292,0.1549,24.3677,0,0,MDb-MM,T224,10,224,Bioreactor_A,Ferm_8_5_224,YES,SipkeTwoXCarbohydrates,Continous,YES,NO,8.9,,,NO,10,RunNormal,BlautiaIntroContinousSipke2xNormalCarbohydrates,T224,Normal,NO
F6T224,94.3643,3.3274,2.5156,17.8086,0.2229,28.3464,0,2.0276,MDb-MM,T224,10,224,Bioreactor_B,Ferm_8_6_224,YES,SipkeTwoXCarbohydrates,Continous,YES,NO,9.8,,,NO,10,RunNormal,BlautiaIntroContinousSipke2xNormalCarbohydrates,T224,Normal,NO
F8T224,90.1097,2.8702,2.9883,14.8382,0.2573,28.2208,0,0,MDb-MM,T224,10,224,Bioreactor_C,Ferm_8_8_224,YES,SipkeTwoXCarbohydrates,Continous,YES,NO,8.9,,,NO,10,RunNormal,BlautiaIntroContinousSipke2xNormalCarbohydrates,T224,Normal,NO
F5T240,87.95653928,0,1.010008513,15.74202655,0.289285209,25.69190052,0,0,MDb-MM,T240,11,240,Bioreactor_A,Ferm_13_5_240,YES,SipkeNormalCarbohydrates,Continous,YES,YES,7.9,,,YES,10,RunNormal,BlautiaIntroFastingContinousSipkeNormalCarbohydrates,T240,Normal,YES
F6T240,80.71953496,0,0.83325731,19.78634313,0,25.66432609,0,0,MDb-MM,T240,11,240,Bioreactor_B,Ferm_13_6_240,YES,SipkeNormalCarbohydrates,Continous,YES,YES,7.4,,,YES,10,RunNormal,BlautiaIntroFastingContinousSipkeNormalCarbohydrates,T240,Normal,YES
F8T240,85.83995387,0,0.831257333,18.09262969,0,26.8806377,0,0,MDb-MM,T240,11,240,Bioreactor_C,Ferm_13_8_240,YES,SipkeNormalCarbohydrates,Continous,YES,YES,7.2,,,YES,10,RunNormal,BlautiaIntroFastingContinousSipkeNormalCarbohydrates,T240,Normal,YES
F5T244,91.18203686,0.395929105,2.680826075,22.16647407,0.02523716,26.63577763,0,0,MDb-MM,T244,11,244,Bioreactor_A,Ferm_41_5_244,YES,SipkeNormalCarbohydrates,Continous,YES,NO,8.3,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T244,Normal,NO
F6T244,86.08010675,0.338446469,2.616776312,23.00979221,0.018483832,27.43038582,0,0,MDb-MM,T244,11,244,Bioreactor_B,Ferm_41_6_244,YES,SipkeNormalCarbohydrates,Continous,YES,NO,8.4,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T244,Normal,NO
F8T244,82.56357599,0.452454821,2.617197837,20.9706543,0.033205486,27.7848727,0,0,MDb-MM,T244,11,244,Bioreactor_C,Ferm_41_8_244,YES,SipkeNormalCarbohydrates,Continous,YES,NO,7.7,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T244,Normal,NO
F5T248,87.7949,3.7994,1.4373,19.6329,0.0877,27.5418,0.2503,0,MDb-MM,T248,11,248,Bioreactor_A,Ferm_42_5_248,YES,SipkeNormalCarbohydrates,Continous,YES,NO,8.5,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T248,Normal,YES
F6T248,84.8818,3.5038,1.4363,21.4057,0.1825,29.5429,0.2691,0,MDb-MM,T248,11,248,Bioreactor_B,Ferm_42_6_248,YES,SipkeNormalCarbohydrates,Continous,YES,NO,9.2,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T248,Normal,YES
F8T248,89.5713,3.4712,1.6958,18.777,0.2162,30.29,0,0,MDb-MM,T248,11,248,Bioreactor_C,Ferm_42_8_248,YES,SipkeNormalCarbohydrates,Continous,YES,NO,8.4,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T248,Normal,YES
F5T264,69.7422,2.1364,0.2326,15.8753,0.1472,26.0791,0,0.1215,MDb-MM,T264,12,264,Bioreactor_A,Ferm_16_5_264,NO,SipkeNormalCarbohydrates,Continous,YES,YES,6.8,,,YES,10,RunNormal,BlautiaIntroFastingContinousSipkeNormalCarbohydrates,T264,Normal,YES
F6T264,70.2387,2.3438,0.1994,18.5255,0.1792,28.9461,0,1.308,MDb-MM,T264,12,264,Bioreactor_B,Ferm_16_6_264,NO,SipkeNormalCarbohydrates,Continous,YES,YES,7.3,,,YES,10,RunNormal,BlautiaIntroFastingContinousSipkeNormalCarbohydrates,T264,Normal,YES
F8T264,72.0832,2.3268,0,15.9585,0.2044,28.6323,0,0,MDb-MM,T264,12,264,Bioreactor_C,Ferm_16_8_264,NO,SipkeNormalCarbohydrates,Continous,YES,YES,7.7,,,YES,10,RunNormal,BlautiaIntroFastingContinousSipkeNormalCarbohydrates,T264,Normal,YES
F5T268,71.2071,4.6719,0.826,17.8556,0.1641,25.3091,0.0889,1.212,MDb-MM,T268,12,268,Bioreactor_A,Ferm_49_5_268,NO,SipkeNormalCarbohydrates,Continous,YES,NO,7.7,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T268,Normal,NO
F6T268,72.4564,2.8887,0.7139,19.9248,0.1792,29.0105,0.3818,2.171,MDb-MM,T268,12,268,Bioreactor_B,Ferm_49_6_268,NO,SipkeNormalCarbohydrates,Continous,YES,NO,8.4,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T268,Normal,NO
F8T268,74.4608,2.2256,0.7443,15.0105,0.1694,29.0071,0.2479,1.7054,MDb-MM,T268,12,268,Bioreactor_C,Ferm_49_8_268,NO,SipkeNormalCarbohydrates,Continous,YES,NO,8.9,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T268,Normal,NO
F5T272,77.9572,2.7164,1.0597,17.9868,0.1413,26.0605,0.6952,0,MDb-MM,T272,12,272,Bioreactor_A,Ferm_3_5_272,NO,SipkeNormalCarbohydrates,Continous,YES,NO,8.6,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T272,Normal,NO
F6T272,70.354,2.8887,0.8924,19.0196,0.1953,27.5873,0.085,1.0598,MDb-MM,T272,12,272,Bioreactor_B,Ferm_3_6_272,NO,SipkeNormalCarbohydrates,Continous,YES,NO,9.5,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T272,Normal,NO
F8T272,72.3582,3.11,0.8268,16.4478,0.1727,27.6686,0.1333,1.1544,MDb-MM,T272,12,272,Bioreactor_C,Ferm_3_8_272,NO,SipkeNormalCarbohydrates,Continous,YES,NO,8.4,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T272,Normal,NO
F5T288,63.189,2.3528,0.0265,14.6286,0.1233,23.5051,0,0.9258,MDb-MM,T288,13,288,Bioreactor_A,Ferm_23_5_288,NO,SipkeNormalCarbohydrates,Continous,YES,YES,7.6,,,YES,10,RunNormal,BlautiaIntroFastingContinousSipkeNormalCarbohydrates,T288,Normal,NO
F6T288,60.384,2.4773,0.205,15.3098,0.1548,25.7332,0,0.7918,MDb-MM,T288,13,288,Bioreactor_B,Ferm_23_6_288,NO,SipkeNormalCarbohydrates,Continous,YES,YES,7.6,,,YES,10,RunNormal,BlautiaIntroFastingContinousSipkeNormalCarbohydrates,T288,Normal,NO
F8T288,69.4538,2.9413,0.2307,16.4219,0.1474,29.228,0,0.8357,MDb-MM,T288,13,288,Bioreactor_C,Ferm_23_8_288,NO,SipkeNormalCarbohydrates,Continous,YES,YES,7,,,YES,10,RunNormal,BlautiaIntroFastingContinousSipkeNormalCarbohydrates,T288,Normal,NO
F5T292,70.0609,2.9669,0.8859,15.2311,0.1727,24.0411,0.0454,0.8329,MDb-MM,T292,13,292,Bioreactor_A,Ferm_56_5_292,NO,SipkeNormalCarbohydrates,Continous,YES,NO,7.8,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T292,Normal,NO
F6T292,66.3954,2.264,0.7107,15.4777,0.1633,26.7117,0.2769,1.9107,MDb-MM,T292,13,292,Bioreactor_B,Ferm_55_6_292,NO,SipkeNormalCarbohydrates,Continous,YES,NO,7.6,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T292,Normal,NO
F8T292,79.1322,2.7334,1.696,16.5497,0.244,32.9289,0,0,MDb-MM,T292,13,292,Bioreactor_C,Ferm_55_8_292,NO,SipkeNormalCarbohydrates,Continous,YES,NO,7,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T292,Normal,NO
F5T296,83.6428,7.7519,2.3277,24.9964,0.1607,31.614,1.2824,4.6477,MDb-MM,T296,13,296,Bioreactor_A,Ferm_37_5_296,NO,SipkeNormalCarbohydrates,Continous,YES,NO,NA,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T296,Normal,NO
F6T296,79.0091,7.1075,1.6603,21.1334,0.26,34.3083,1.2818,3.9891,MDb-MM,T296,13,296,Bioreactor_B,Ferm_37_6_296,NO,SipkeNormalCarbohydrates,Continous,YES,NO,NA,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T296,Normal,NO
F8T296,78.2808,6.9305,1.4071,19.1901,0.2653,34.0881,1.2225,3.8242,MDb-MM,T296,13,296,Bioreactor_C,Ferm_37_8_296,NO,SipkeNormalCarbohydrates,Continous,YES,NO,NA,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T296,Normal,NO
F5T312,71.4525,6.5785,0,21.1016,0,30.1549,2.4367,4.079,MDb-MM,T312,14,312,Bioreactor_A,Ferm_14_5_312,NO,SipkeNormalCarbohydrates,Continous,YES,YES,6.4,,,YES,10,RunNormal,BlautiaIntroFastingContinousSipkeNormalCarbohydrates,T312,Normal,NO
F6T312,75.5216,9.3115,2.5415,24.9821,0.2559,34.712,0,5.4809,MDb-MM,T312,14,312,Bioreactor_B,Ferm_14_6_312,NO,SipkeNormalCarbohydrates,Continous,YES,YES,6.7,,,YES,10,RunNormal,BlautiaIntroFastingContinousSipkeNormalCarbohydrates,T312,Normal,NO
F8T312,77.591,5.7642,0,16.7723,0.3542,39.7823,0.9433,0,MDb-MM,T312,14,312,Bioreactor_C,Ferm_14_8_312,NO,SipkeNormalCarbohydrates,Continous,YES,YES,6.9,,,YES,10,RunNormal,BlautiaIntroFastingContinousSipkeNormalCarbohydrates,T312,Normal,NO
F5T316,77.5324,9.8038,1.14,24.5982,0.1929,35.3576,0,0,MDb-MM,T316,14,316,Bioreactor_A,Ferm_53_5_316,NO,SipkeNormalCarbohydrates,Continous,YES,NO,7.4,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T316,Normal,NO
F6T316,78.7743,7.7183,1.7754,25.0273,0.2092,33.9444,1.608,4.8639,MDb-MM,T316,14,316,Bioreactor_B,Ferm_53_6_316,NO,SipkeNormalCarbohydrates,Continous,YES,NO,7.8,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T316,Normal,NO
F8T316,77.7078,7.2965,0,23.5899,0.3837,38.9299,0,0,MDb-MM,T316,14,316,Bioreactor_C,Ferm_53_8_316,NO,SipkeNormalCarbohydrates,Continous,YES,NO,7.4,,,NO,10,Overflowed ,OverflowedBlautiaIntroContinousSipkeNormalCarbohydrates,T316,Normal,NO
F5T320,76.85285881,0.479549512,2.468409544,17.6141255,0.096102029,23.06890699,0,0,MDb-MM,T320,14,320,Bioreactor_A,Ferm_34_5_320,NO,SipkeNormalCarbohydrates,Continous,YES,NO,8.5,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T320,Normal,NO
F6T320,73.94723587,0.389691234,2.346039684,19.04016932,0.096668697,25.32664713,0,0,MDb-MM,T320,14,320,Bioreactor_B,Ferm_34_6_320,NO,SipkeNormalCarbohydrates,Continous,YES,NO,9.1,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T320,Normal,NO
F8T320,70.2554078,0.511204482,0.808878755,16.40984732,0.077600102,25.90435728,0,0,MDb-MM,T320,14,320,Bioreactor_C,Ferm_34_8_320,NO,SipkeNormalCarbohydrates,Continous,YES,NO,8.6,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T320,Normal,NO
F5T336,54.86615947,0.327720799,0.538614981,13.181391,0.236262923,17.99699099,0,0,MDb-MM,T336,15,336,Bioreactor_A,Ferm_4_5_336,NO,SipkeNormalCarbohydrates,Continous,YES,YES,6.7,,,YES,10,RunNormal,BlautiaIntroFastingContinousSipkeNormalCarbohydrates,T336,Normal,NO
F6T336,68.35887255,0.623555426,0.728408195,15.65478754,0.338515367,25.32001609,0,0,MDb-MM,T336,15,336,Bioreactor_B,Ferm_4_6_336,NO,SipkeNormalCarbohydrates,Continous,YES,YES,7,,,YES,10,RunNormal,BlautiaIntroFastingContinousSipkeNormalCarbohydrates,T336,Normal,NO
F8T336,64.67375106,0.450833654,0.63639859,15.35989744,0,24.2302457,0,0,MDb-MM,T336,15,336,Bioreactor_C,Ferm_4_8_336,NO,SipkeNormalCarbohydrates,Continous,YES,YES,7.1,,,YES,10,RunNormal,BlautiaIntroFastingContinousSipkeNormalCarbohydrates,T336,Normal,NO
F5T340,67.04823449,0.438440025,0.628979875,16.48063176,0.043447344,21.05109673,0,0,MDb-MM,T340,15,340,Bioreactor_A,Ferm_52_5_340,NO,SipkeNormalCarbohydrates,Continous,YES,NO,7.2,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T340,Normal,NO
F6T340,59.81396962,0.423292156,0.49706642,15.46399968,0.042642413,21.0122743,0,0,MDb-MM,T340,15,340,Bioreactor_B,Ferm_52_6_340,NO,SipkeNormalCarbohydrates,Continous,YES,NO,7.8,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T340,Normal,NO
F8T340,64.18364663,0.469316982,0.415874092,15.43458608,0.041437033,23.68373212,0,0,MDb-MM,T340,15,340,Bioreactor_C,Ferm_52_8_340,NO,SipkeNormalCarbohydrates,Continous,YES,NO,7.4,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T340,Normal,NO
F5T344,69.57160075,0.486978257,1.35650306,17.12609411,0.308058613,22.15095066,0,0,MDb-MM,T344,15,344,Bioreactor_A,Ferm_22_5_344,NO,SipkeNormalCarbohydrates,Continous,YES,NO,8.4,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T344,Normal,NO
F6T344,79.12511961,0.631298634,2.619045918,22.55261213,0.296175186,28.44765867,0,0,MDb-MM,T344,15,344,Bioreactor_B,Ferm_22_6_344,NO,SipkeNormalCarbohydrates,Continous,YES,NO,8.8,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T344,Normal,NO
F8T344,74.71117272,0.634443029,1.236277201,18.58234472,0.071117058,27.63435724,0,0,MDb-MM,T344,15,344,Bioreactor_C,Ferm_22_8_344,NO,SipkeNormalCarbohydrates,Continous,YES,NO,8.2,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T344,Normal,NO
F5T365,60.95374506,0.583621217,0.711004261,15.90899129,0.21262103,22.51664876,0,0,MDb-MM,T365,16,365,Bioreactor_A,Ferm_44_5_365,NO,SipkeNormalCarbohydrates,Continous,YES,YES,5.7,,,Elongated fasting period,10,Elongated fasting period,BlautiaIntroElongatedFastingContinousSipkeNormalCarbohydrates,T365,Normal,NO
F6T365,59.56490664,0.608430493,0.803924815,16.81742368,0.230689794,23.97808506,0,0,MDb-MM,T365,16,365,Bioreactor_B,Ferm_44_6_365,NO,SipkeNormalCarbohydrates,Continous,YES,YES,6,,,Elongated fasting period,10,Elongated fasting period,BlautiaIntroElongatedFastingContinousSipkeNormalCarbohydrates,T365,Normal,NO
F8T365,62.0223165,0.660348681,0.628104303,14.94468571,0.183112638,25.72053208,0,0,MDb-MM,T365,16,365,Bioreactor_C,Ferm_44_8_365,NO,SipkeNormalCarbohydrates,Continous,YES,YES,6.2,,,Elongated fasting period,10,Elongated fasting period,BlautiaIntroElongatedFastingContinousSipkeNormalCarbohydrates,T365,Normal,NO
F5T389,53.83907394,0.603238537,0.506918224,13.23697301,0.206639646,19.38113326,0,0,MDb-MM,T389,17,389,Bioreactor_A,Ferm_61_5_389,NO,SipkeNormalCarbohydrates,Continous,NO,NO,7.8,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T389,Normal,NO
F6T389,47.18487864,0.545467127,0.749637225,13.51710976,0.217812027,19.96779899,0,0,MDb-MM,T389,17,389,Bioreactor_B,Ferm_61_5_389,NO,SipkeNormalCarbohydrates,Continous,NO,NO,8.4,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T389,Normal,NO
F8T389,55.10530377,0.673559315,0.506353218,13.69098037,0.183911763,21.60133046,0,0,MDb-MM,T389,17,389,Bioreactor_C,Ferm_61_5_389,NO,SipkeNormalCarbohydrates,Continous,NO,NO,8.6,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T389,Normal,NO
F5T390,56.07960647,0.502111906,1.611158647,13.07735947,1.786053917,17.27435219,0,0,MDb-MM,T390,17,390,Bioreactor_A,Ferm_10_5_390,NO,SipkeNormalCarbohydrates,Continous,YES,YES,8.2,,YES,Elongated fasting period,10,Elongated fasting period,BlautiaIntroElongatedFastingContinousSipkeNormalCarbohydrates,T390,Normal,NO
F6T390,49.14093055,0.469867463,2.64809796,13.02565158,1.846311381,18.7966658,0,1.196083013,MDb-MM,T390,17,390,Bioreactor_B,Ferm_10_6_390,NO,SipkeNormalCarbohydrates,Continous,YES,YES,10,,YES,Elongated fasting period,10,Elongated fasting period,BlautiaIntroElongatedFastingContinousSipkeNormalCarbohydrates,T390,Normal,NO
F8T390,58.2025838,0.579870605,2.047002443,13.81257565,1.7930396,19.85501369,0,0,MDb-MM,T390,17,390,Bioreactor_C,Ferm_10_8_390,NO,SipkeNormalCarbohydrates,Continous,YES,YES,8.7,,YES,Elongated fasting period,10,Elongated fasting period,BlautiaIntroElongatedFastingContinousSipkeNormalCarbohydrates,T390,Normal,NO
F5T408,56.99339109,0.602152254,0.296820123,13.9585336,0.103020016,17.37735673,0,0,MDb-MM,T408,18,408,Bioreactor_A,Ferm_19_5_408,NO,SipkeNormalCarbohydrates,Continous,YES,YES,6.1,,,Elongated fasting period,10,RunNormal,BlautiaIntroFastingContinousSipkeNormalCarbohydrates,T408,Normal,NO
F6T408,51.759577,0.595976083,0.896616031,14.15300014,0.21970837,22.80462595,0,0,MDb-MM,T408,18,408,Bioreactor_B,Ferm_19_6_408,NO,SipkeNormalCarbohydrates,Continous,YES,YES,5.9,,,Elongated fasting period,10,RunNormal,BlautiaIntroFastingContinousSipkeNormalCarbohydrates,T408,Normal,NO
F8T408,53.86036549,0.527593687,0.506005919,13.4499625,0.162502749,18.40619162,0,0,MDb-MM,T408,18,408,Bioreactor_C,Ferm_19_8_408,NO,SipkeNormalCarbohydrates,Continous,YES,YES,6.5,,,Elongated fasting period,10,RunNormal,BlautiaIntroFastingContinousSipkeNormalCarbohydrates,T408,Normal,NO
F5T412,67.77592911,0.564115829,0.97457531,16.28350569,0.262150443,18.71884251,0,0,MDb-MM,T412,18,412,Bioreactor_A,Ferm_48_5_412,NO,SipkeNormalCarbohydrates,Continous,YES,NO,7.3,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T412,Normal,NO
F6T412,52.49667401,0.493132409,2.258800845,14.43884222,0.03198376,20.66702987,0,0,MDb-MM,T412,18,412,Bioreactor_B,Ferm_48_6_412,NO,SipkeNormalCarbohydrates,Continous,YES,NO,7.2,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T412,Normal,NO
F8T412,65.17212754,0.621260607,1.252948156,16.03145749,0.025208503,20.89178683,0,0,MDb-MM,T412,18,412,Bioreactor_C,Ferm_48_8_412,NO,SipkeNormalCarbohydrates,Continous,YES,NO,7.4,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T412,Normal,NO
F5T416,85.3950716,0.457559847,2.35864468,20.71085524,0.022445797,23.85006232,0,0,MDb-MM,T416,18,416,Bioreactor_A,Ferm_12_5_416,NO,SipkeNormalCarbohydrates,Continous,YES,NO,8.4,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T416,Normal,NO
F6T416,60.83629199,0.375475742,2.812561561,15.79654352,0.023717436,22.85366945,0,0,MDb-MM,T416,18,416,Bioreactor_B,Ferm_12_6_416,NO,SipkeNormalCarbohydrates,Continous,YES,NO,8.4,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T416,Normal,NO
F8T416,72.57977715,0.588518437,2.039293216,16.17972537,0.01594607,23.26600442,0,0,MDb-MM,T416,18,416,Bioreactor_C,Ferm_12_8_416,NO,SipkeNormalCarbohydrates,Continous,YES,NO,7.9,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T416,Normal,NO
F5T432,61.98779161,0.564394281,0.475391922,15.93759327,0.160871438,18.59550481,0,0,MDb-MM,T432,19,432,Bioreactor_A,Ferm_58_5_432,NO,SipkeNormalCarbohydrates,Continous,YES,YES,7.2,,,YES,20,DoubleDilutionRate,DoubleDilutionRateBlautiaIntroFastingContinousSipkeNormalCarbohydrates,T432,Normal,NO
F6T432,61.73094189,0.591241255,0.785715618,16.3324471,0.215557553,25.35368736,0,0,MDb-MM,T432,19,432,Bioreactor_B,Ferm_58_6_432,NO,SipkeNormalCarbohydrates,Continous,YES,YES,6.7,,,YES,20,DoubleDilutionRate,DoubleDilutionRateBlautiaIntroFastingContinousSipkeNormalCarbohydrates,T432,Normal,NO
F8T432,53.66989462,0.432459046,0.420186489,13.46129059,0.159053797,17.98725032,0,0,MDb-MM,T432,19,432,Bioreactor_C,Ferm_58_8_432,NO,SipkeNormalCarbohydrates,Continous,YES,YES,6.8,,,YES,20,DoubleDilutionRate,DoubleDilutionRateBlautiaIntroFastingContinousSipkeNormalCarbohydrates,T432,Normal,NO
F5T434,65.45672924,0.635323112,2.314415023,19.01402529,0.338034528,18.486508,0,0,MDb-MM,T434,19,434,Bioreactor_A,Ferm_35_5_434,NO,SipkeNormalCarbohydrates,Continous,YES,NO,8.5,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T434,Normal,NO
F6T434,60.83953071,0.693895471,3.1088663,15.78116563,0.2893126,22.6361167,0,0,MDb-MM,T434,19,434,Bioreactor_B,Ferm_35_6_434,NO,SipkeNormalCarbohydrates,Continous,YES,NO,8.3,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T434,Normal,NO
F8T434,67.65076916,0.722338841,1.898467065,16.28910803,0.279504311,21.38247792,0,0,MDb-MM,T434,19,434,Bioreactor_C,Ferm_35_8_434,NO,SipkeNormalCarbohydrates,Continous,YES,NO,7.4,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T434,Normal,NO
F5T436,67.17261324,0.52541057,2.371756667,19.34688666,0.220699845,18.58847381,0,0,MDb-MM,T436,19,436,Bioreactor_A,Ferm_57_5_436,NO,SipkeNormalCarbohydrates,Continous,YES,NO,8.1,,,NO,20,DoubleDilutionRate,DoubleDilutionRateBlautiaIntroFastingContinousSipkeNormalCarbohydrates,T436,Normal,NO
